Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Hive 56,Brown Ale - Belgian Dark,Allagash Brewing Company,7.7,4.09,15,25,34,79,19,27,205,219,1,149,26,5,132
La RullÃ©s CuvÃ©e Meilleurs Voeux (BiÃ¨re De Gaume),Brown Ale - Belgian Dark,Brasserie Artisanale De Rulles SPRL,7.3,3.85,15,25,23,60,27,31,121,54,0,73,33,52,63
Werewolf,Brown Ale - Belgian Dark,RinkuÅ¡kiai,8.2,2.95,15,25,7,35,45,18,87,32,0,40,16,4,76
Triporteur From Hell,Brown Ale - Belgian Dark,BOMBrewery,6.66,3.74,15,25,12,46,18,40,78,28,0,31,41,22,98
Tempelier,Brown Ale - Belgian Dark,Brouwerij Corsendonk,6,3.8,15,25,42,50,13,28,89,57,2,60,41,19,68
Bink Bruin,Brown Ale - Belgian Dark,Brouwerij Kerkom,5.5,3.62,15,25,12,65,16,33,116,34,0,57,36,12,80
Spinner Bait Belgian Style Red,Brown Ale - Belgian Dark,SweetWater Brewing Company,6,3.4,15,25,24,35,11,26,56,31,0,40,38,44,54
The Debutante,Brown Ale - Belgian Dark,Societe Brewing Co.,6.8,3.78,15,25,3,3,0,6,5,4,0,6,11,2,7
Black Rhino,Brown Ale - Belgian Dark,Adelbert's Brewery,5.6,3.68,15,25,9,38,11,33,51,18,0,22,27,24,52
Woodbooger,Brown Ale - Belgian Dark,Strangeways Brewing,6,3.78,15,25,3,40,12,18,50,16,0,29,8,6,57
Biscotti,Brown Ale - Belgian Dark,Lift Bridge Brewery,7,3.62,15,25,14,31,24,12,53,30,0,51,15,80,76
Fullsuit Belgian-Style Brown Ale,Brown Ale - Belgian Dark,Karl Strauss Brewing Company,6.3,3.65,15,25,19,50,21,20,62,30,0,38,21,27,103
Dâ€™Tango Unchained,Brown Ale - Belgian Dark,Weyerbacher Brewing Co.,9.6,4.06,15,25,32,52,21,2,81,147,0,117,16,33,47
Winter Koninck,Brown Ale - Belgian Dark,Brouwerij De Koninck NV,6.5,3.54,15,25,5,45,24,15,100,31,0,40,15,43,51
Tongerlo 6 Dubbel Bruin,Brown Ale - Belgian Dark,Brouwerij Haacht NV,6.5,3.49,15,25,9,35,5,18,82,25,0,46,10,5,52
Ganache,Brown Ale - Belgian Dark,Allagash Brewing Company,7.2,4.13,15,25,16,69,8,16,117,89,0,61,11,3,59
BiÃ¨re De NoÃ«l,Brown Ale - Belgian Dark,Brasserie Thiriez,5.8,3.71,15,25,19,55,12,17,59,62,1,54,27,63,81
Solenna,Brown Ale - Belgian Dark,Funkwerks,6.5,3.84,15,25,28,37,14,27,56,79,0,53,56,44,49
Abbey Ale,Brown Ale - Belgian Dark,Cathedral Square Brewery,6.5,3.6,15,25,11,46,18,25,60,25,1,43,31,22,92
St. EADman,Brown Ale - Belgian Dark,Flying Dog Brewery,8.3,3.87,15,25,16,42,36,20,127,54,2,89,32,23,74
Trooper Hallowed,Brown Ale - Belgian Dark,Robinsons Family Brewers,6,3.66,15,25,23,52,22,28,127,49,2,102,55,49,118
Leffe De NoÃ«l,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.6,3.51,15,25,6,29,23,18,66,28,0,29,14,45,52
Gruut Belgian Amber Ale,Brown Ale - Belgian Dark,Gentse Gruut Brouwerij,6.6,3.57,15,25,14,41,12,36,75,28,0,32,55,27,64
Haviken,Brown Ale - Belgian Dark,Strange Roots Experimental Ales,7.4,3.9,15,25,14,35,9,14,50,82,0,54,23,4,25
Grotten Sante,Brown Ale - Belgian Dark,Brasserie Kazematten,6.5,3.78,15,25,15,34,13,20,83,46,0,53,29,30,59
Mushhushshu,Brown Ale - Belgian Dark,Rhinegeist Brewery,10.3,4.02,15,25,0,48,26,27,36,9,0,14,4,12,70
Coffee Navette,Brown Ale - Belgian Dark,Penrose Brewing,6,4.11,15,25,3,7,2,23,5,5,0,3,4,1,29
Proletary Ale,Brown Ale - Belgian Dark,The Brewer's Art,5,4.02,15,25,15,66,14,44,52,4,0,9,31,11,92
Black Jack (Bourbon Barrel Aged),Brown Ale - Belgian Dark,North by Northwest Restaurant & Brewery,0,3.94,15,25,6,37,46,6,49,11,0,20,11,26,77
La RullÃ©s Brune (BiÃ¨re De Gaume),Brown Ale - Belgian Dark,Brasserie Artisanale De Rulles SPRL,6.5,3.74,15,25,12,55,12,17,100,29,0,43,29,17,94
Navette,Brown Ale - Belgian Dark,Penrose Brewing,6,3.84,15,25,3,24,0,14,15,2,0,4,18,4,20
La Petite Mort,Brown Ale - Belgian Dark,Black Raven Brewing Co.,8.7,4.12,15,25,3,12,5,4,19,8,0,9,3,7,12
Leffe Rossa,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.6,3.37,15,25,12,26,12,11,49,18,0,18,13,24,48
La Brea Brown,Brown Ale - Belgian Dark,Fossil Cove Brewing Co.,6,3.74,15,25,5,6,5,14,20,7,0,8,14,2,27
North By Northwest Okanogan Black Ale,Brown Ale - Belgian Dark,North by Northwest Restaurant & Brewery,0,3.64,15,25,3,22,3,14,18,4,0,4,12,7,46
Special 608 Belgian Amber,Brown Ale - Belgian Dark,Evolution Craft Brewing Company,7.5,3.72,15,25,2,0,1,2,3,4,0,4,2,1,1
Valeir Donker,Brown Ale - Belgian Dark,Brouwerij Contreras,6.5,3.82,15,25,12,54,6,19,94,29,0,58,16,10,48
Blind Ambition,Brown Ale - Belgian Dark,Ladyface Ale Companie,6.4,3.86,15,25,2,7,6,6,16,7,1,7,7,3,18
Bean Counter,Brown Ale - Belgian Dark,Taxman Brewing Co.,7.8,4.02,15,25,10,47,8,65,36,4,0,6,18,27,100
Newcastle Brown Ale,Brown Ale - English,Heineken Nederland B.V.,4.7,3.33,15,25,8,23,2,20,31,9,0,12,19,1,54
Nut Brown AleSamuel Smith Old Brewery (Tadcaster),Brown Ale - English,Samuel Smith Old Brewery (Tadcaster),5,4.1,15,25,11,55,5,25,77,18,0,40,42,2,136
Maduro Brown Ale,Brown Ale - English,Cigar City Brewing,5.5,3.94,15,25,12,87,5,54,73,7,0,16,27,13,157
Turbodog,Brown Ale - English,Abita Brewing Co.,5.6,3.68,15,25,10,53,5,49,75,8,0,20,34,11,118
Southern Pecan,Brown Ale - English,Lazy Magnolia Brewing Company,4.5,3.59,15,25,10,42,6,24,69,9,0,15,33,6,149
Fat Squirrel Ale,Brown Ale - English,New Glarus Brewing Company,5.8,3.81,15,25,12,53,12,44,77,19,1,24,57,9,148
Cubano-Style Espresso Brown Ale,Brown Ale - English,Cigar City Brewing,5.5,4.13,15,25,18,87,6,76,71,8,0,2,21,19,186
Hexnut,Brown Ale - English,Goose Island Beer Co.,5.5,3.77,15,25,7,60,6,34,66,5,0,8,33,6,149
Nut Brown Ale,Brown Ale - English,AleSmith Brewing Company,5,4,15,25,23,74,12,33,52,11,2,7,33,4,131
Downtown Brown,Brown Ale - English,Lost Coast Brewery and Cafe,5,3.67,15,25,4,36,2,15,48,7,0,11,13,1,78
Winter Ale,Brown Ale - English,Weyerbacher Brewing Co.,5.6,3.47,15,25,14,38,9,23,70,11,0,23,16,22,86
Georgia Brown,Brown Ale - English,SweetWater Brewing Company,5.1,3.6,15,25,10,66,3,57,80,9,0,12,53,2,138
Sticky Toffee Pudding,Brown Ale - English,Eagle Brewery,5,3.47,15,25,8,39,3,30,78,6,0,15,26,6,140
Harvest,Brown Ale - English,Long Trail Brewing Co.,4.4,3.68,15,25,10,31,7,35,86,2,0,3,34,6,120
